Template Name,Template ID,Referenced Datasets,Validation Status,Notes on Corrections Made
domain-agnostic_classification_binary_easy_1,domain-agnostic_classification_binary_easy_1,"ChestX-ray14, ISIC, EyePACS",CORRECTED,"Updated to 5-section format, added image presentation and answer construction subsections, enhanced examples with conversion process"
classification_binary_2,classification_binary_2,TBD,NEEDS_CORRECTION,"Structure needs update to 5-section format, missing required subsections"
classification_binary_3,classification_binary_3,TBD,NEEDS_CORRECTION,"Structure needs update to 5-section format, missing required subsections"
classification_binary_4,classification_binary_4,TBD,NEEDS_CORRECTION,"Structure needs update to 5-section format, missing required subsections"
classification_binary_5,classification_binary_5,TBD,NEEDS_CORRECTION,"Structure needs update to 5-section format, missing required subsections"
classification_binary_6,classification_binary_6,TBD,NEEDS_CORRECTION,"Structure needs update to 5-section format, missing required subsections"
classification_binary_7,classification_binary_7,TBD,NEEDS_CORRECTION,"Structure needs update to 5-section format, missing required subsections"
classification_binary_8,classification_binary_8,TBD,NEEDS_CORRECTION,"Structure needs update to 5-section format, missing required subsections"
classification_binary_9,classification_binary_9,TBD,NEEDS_CORRECTION,"Structure needs update to 5-section format, missing required subsections"
agnostic_classification_multiclass_1,agnostic_classification_multiclass_1,TBD,NEEDS_CORRECTION,"Structure needs update to 5-section format, missing required subsections"
agnostic_classification_multiclass_2,agnostic_classification_multiclass_2,TBD,NEEDS_CORRECTION,"Structure needs update to 5-section format, missing required subsections"
agnostic_classification_multiclass_3,agnostic_classification_multiclass_3,TBD,NEEDS_CORRECTION,"Structure needs update to 5-section format, missing required subsections"
domain-agnostic_classification_multilabel_easy_1,domain-agnostic_classification_multilabel_easy_1,TBD,NEEDS_CORRECTION,"Structure needs update to 5-section format, missing required subsections"
domain-agnostic_classification_multilabel_easy_2,domain-agnostic_classification_multilabel_easy_2,TBD,NEEDS_CORRECTION,"Structure needs update to 5-section format, missing required subsections"
domain-agnostic_classification_multilabel_easy_3,domain-agnostic_classification_multilabel_easy_3,TBD,NEEDS_CORRECTION,"Structure needs update to 5-section format, missing required subsections"
domain-agnostic_classification_ordinal_easy_1,domain-agnostic_classification_ordinal_easy_1,TBD,NEEDS_CORRECTION,"Structure needs update to 5-section format, missing required subsections"
domain-agnostic_classification_ordinal_easy_2,domain-agnostic_classification_ordinal_easy_2,TBD,NEEDS_CORRECTION,"Structure needs update to 5-section format, missing required subsections"
domain-agnostic_classification_ordinal_easy_3,domain-agnostic_classification_ordinal_easy_3,TBD,NEEDS_CORRECTION,"Structure needs update to 5-section format, missing required subsections"
dermatology_classification_binary_easy_1,dermatology_classification_binary_easy_1,TBD,NEEDS_CORRECTION,"Structure needs update to 5-section format, missing required subsections, domain-knowledge summary needed"
surgery_classification_multiclass_easy_1,surgery_classification_multiclass_easy_1,TBD,NEEDS_CORRECTION,"Structure needs update to 5-section format, missing required subsections, domain-knowledge summary needed"
